timestamp,x,y,z
1692849594.115511,4.1160116,10.866429,0.04743104
1692849594.215411,4.102412,10.855477,0.12437371
1692849594.315678,4.0828123,10.846053,0.19124448
1692849594.415494,4.0542665,10.838185,0.24971735
1692849594.515523,4.0135,10.831771,0.3024195
1692849594.615462,3.9585283,10.826639,0.35170883
1692849594.715895,3.8946543,10.821459,0.4028548
1692849594.815429,3.8319752,10.814525,0.46110967
1692849594.915451,3.7792184,10.805145,0.527372
1692849595.015463,3.7468762,10.794777,0.591412
1692849595.115258,3.7328446,10.783486,0.64913434
1692849595.215731,3.7135155,10.768463,0.7091682
1692849595.315489,3.6746807,10.7499275,0.77388173
1692849595.415539,3.6203861,10.7326975,0.83684653
1692849595.515423,3.5618494,10.719419,0.8938785
1692849595.615496,3.5176227,10.707941,0.9479602
1692849595.715435,3.4925797,10.6956005,1.0023978
1692849595.81531,3.4661481,10.679415,1.0608559
1692849595.915371,3.4308918,10.659131,1.1255153
1692849596.015876,3.4067085,10.639362,1.1957635
1692849596.115862,3.4011323,10.622536,1.2689654
1692849596.215781,3.3963647,10.606034,1.3421134
1692849596.315474,3.3819833,10.588644,1.4110966
1692849596.415444,3.3631656,10.571863,1.4713371
1692849596.515727,3.3408961,10.555619,1.5228771
1692849596.61561,3.3066921,10.536708,1.5740868
1692849596.715624,3.2602775,10.514529,1.6273808
1692849596.815691,3.216918,10.493671,1.672797
1692849596.915683,3.1856334,10.475857,1.7086095
1692849597.015608,3.162245,10.457098,1.7490187
1692849597.115416,3.1440327,10.436218,1.8015864
1692849597.215364,3.132732,10.417526,1.8605309
1692849597.315417,3.1271698,10.403606,1.922273
1692849597.415427,3.1203883,10.3930645,1.9893256
1692849597.51545,3.11045,10.384864,2.0612993
1692849597.615591,3.1048977,10.379285,2.131717
1692849597.715537,3.1077893,10.375521,2.1990101
1692849597.815578,3.1142344,10.370278,2.2736437
1692849597.915468,3.1206307,10.363147,2.3568213
1692849598.015581,3.127351,10.358853,2.4332685
1692849598.115379,3.134514,10.358531,2.4927483
1692849598.215299,3.1413982,10.356666,2.5375135
1692849598.315403,3.1471808,10.350962,2.5696778
1692849598.415517,3.151061,10.346051,2.589738
1692849598.515501,3.153226,10.344646,2.5992453
1692849598.615422,3.155437,10.345167,2.6016219
1692849598.715405,3.1595826,10.345679,2.600407
1692849598.815405,3.1666262,10.345709,2.5979915
1692849598.91555,3.1759667,10.347247,2.5948184
1692849599.01557,3.1859136,10.3502865,2.5907845
1692849599.115385,3.1932595,10.350901,2.5851524
1692849599.215554,3.1981091,10.348261,2.5786474
1692849599.315482,3.2060068,10.347201,2.5745862
1692849599.41549,3.2183974,10.350434,2.574357
1692849599.515485,3.229046,10.356341,2.5758908
1692849599.615642,3.2328572,10.361988,2.5762963
1692849599.715639,3.2277632,10.363,2.5719395
1692849599.8154,3.2161243,10.358992,2.562508
1692849599.915888,3.2065437,10.355878,2.5528111
1692849600.015685,3.2050142,10.357651,2.5467587
1692849600.115665,3.2117612,10.364062,2.545449
1692849600.215514,3.224023,10.372096,2.5485198
1692849600.315493,3.2348387,10.374812,2.5534122
