timestamp,x,y,z
1692846887.841523,5.192782,11.851662,0.050438236
1692846887.941594,5.157763,11.864616,0.10691245
1692846888.041198,5.107976,11.881322,0.16371569
1692846888.17316,5.0311227,11.906773,0.22994287
1692846888.273249,4.9735484,11.926693,0.26595035
1692846888.373642,4.919521,11.946359,0.28896913
1692846888.473422,4.8667574,11.96576,0.30478206
1692846888.573079,4.814554,11.984557,0.3174476
1692846888.6732,4.765398,12.001589,0.328044
1692846888.773661,4.7203484,12.016107,0.33747536
1692846888.873158,4.6712236,12.03017,0.3470091
1692846888.97311,4.60844,12.046445,0.35820335
1692846889.073618,4.5357866,12.0643835,0.37209433
1692846889.173436,4.4617457,12.082237,0.38857886
1692846889.273396,4.3919,12.098498,0.40423727
1692846889.373255,4.3309145,12.111807,0.4162224
1692846889.473613,4.2765765,12.122746,0.4304897
1692846889.573248,4.2271576,12.131965,0.4550655
1692846889.673221,4.186703,12.138887,0.49688023
1692846889.77326,4.1604567,12.142712,0.5593487
1692846889.873641,4.145705,12.144357,0.6318646
1692846889.97336,4.1376085,12.145155,0.7021355
1692846890.073256,4.131937,12.145991,0.77655274
1692846890.173341,4.1255546,12.14742,0.8632534
1692846890.273296,4.118835,12.1491165,0.9567853
1692846890.373289,4.1129446,12.15059,1.0482204
1692846890.473384,4.108047,12.151756,1.1288272
1692846890.573167,4.1039457,12.152689,1.1926941
1692846890.673311,4.0999327,12.153703,1.2506187
1692846890.773249,4.0955496,12.155052,1.3134714
1692846890.873211,4.0920067,12.156395,1.3713577
1692846890.973237,4.0905895,12.15735,1.4114895
1692846891.07307,4.0904756,12.158233,1.4383318
1692846891.172938,4.0903816,12.159446,1.4603277
1692846891.273056,4.0898004,12.160795,1.4797709
1692846891.374068,4.088394,12.162026,1.4972084
1692846891.473112,4.085661,12.1634245,1.5128682
1692846891.573462,4.0811625,12.165381,1.527587
1692846891.673554,4.0758376,12.167516,1.5392826
1692846891.773446,4.070729,12.169511,1.5475025
1692846891.873387,4.065839,12.172212,1.5611807
1692846891.973177,4.060961,12.176364,1.58945
1692846892.073185,4.0562334,12.180589,1.6291001
1692846892.172997,4.0523744,12.183069,1.6752647
1692846892.272935,4.0520244,12.183211,1.7348255
1692846892.373144,4.0573854,12.180973,1.8137959
1692846892.473359,4.0657115,12.177432,1.8979899
1692846892.57312,4.073434,12.173745,1.972791
1692846892.673002,4.0802383,12.169766,2.0505943
1692846892.773141,4.0866327,12.165221,2.1467106
1692846892.873048,4.0928197,12.160975,2.2537403
1692846892.973081,4.0988903,12.157986,2.3605943
1692846893.073389,4.1045523,12.156231,2.4666631
1692846893.17334,4.1093187,12.155448,2.5724065
1692846893.27316,4.112515,12.155471,2.674146
1692846893.373039,4.1134267,12.156173,2.7669475
1692846893.473444,4.1125965,12.157287,2.854639
1692846893.573235,4.1120744,12.1583605,2.9495635
1692846893.673287,4.1129465,12.159245,3.057114
1692846893.773278,4.115166,12.160098,3.1713028
1692846893.873273,4.1185255,12.16108,3.2866123
1692846893.973204,4.1223273,12.162247,3.4003897
1692846894.073491,4.125798,12.163557,3.512219
1692846894.173266,4.128386,12.164607,3.6239672
1692846894.273359,4.129756,12.165041,3.7376041
1692846894.373459,4.1299243,12.165072,3.8405483
1692846894.473541,4.1290483,12.165013,3.9212303
1692846894.573426,4.127364,12.164882,3.98527
1692846894.673433,4.1251235,12.16464,4.042285
1692846894.773459,4.122735,12.164585,4.0902457
1692846894.873591,4.12075,12.165348,4.1158395
1692846894.973511,4.1193557,12.167143,4.119699
1692846895.073469,4.1183505,12.169762,4.1171703
1692846895.173444,4.117698,12.17319,4.1165147
1692846895.273583,4.1175485,12.17764,4.1173873
1692846895.373461,4.117755,12.18256,4.118891
1692846895.473446,4.1178327,12.186635,4.1200747
